Metodo,Average RR (ms),minimum RR (ms),maximum RR (ms),RR range (ms),Bradycardia,SDNN (ms),RMSSD (ms),pNN50 (%),Erro Médio Total
biosppy,85.43065246671927,47.160725432046206,253.55894479243716,246.09043238146546,0.11754561718647688,21.287009395565008,87.11012618606155,21.773084028089368,95.31606503744631
elgendi2010,87.88017639250052,48.855549650796206,282.3235321947809,276.54987452013734,0.11873801763803682,25.055792964900945,84.11558883254592,26.63714729102882,103.94204998304109
engzeemod2012,83.57304748625052,53.579365568764956,250.85923776118716,249.8093654869342,0.11305330466386408,22.85922161480329,85.6664616352803,21.883473737562024,96.0429033244308
hamilton2002,86.28654846281302,61.652424650796206,285.8132782885309,292.83649561388734,0.11436673787613207,28.145819820369695,78.83806197707717,24.23821388038429,107.24065117896684
neurokit,81.34654602140677,63.093159514077456,228.60289010493716,237.06684229357484,0.109441241048397,16.6698447837486,94.0069386250264,21.624480588758313,92.81501789657224
pantompkins1985,87.83519348234427,59.421833830483706,277.54075631587466,282.33335230334046,0.11505949130326049,25.387030757869695,82.77375381057327,22.974551542127454,104.7976914417396
